"","x"
"5001","DRUG/NARCOTIC"
"5002","ASSAULT"
"5003","ASSAULT"
"5004","LARCENY/THEFT"
"5005","LARCENY/THEFT"
"5006","LARCENY/THEFT"
"5007","NON-CRIMINAL"
"5008","ASSAULT"
"5009","OTHER OFFENSES"
"5010","LARCENY/THEFT"
"5011","ASSAULT"
"5012","LARCENY/THEFT"
"5013","LARCENY/THEFT"
"5014","NON-CRIMINAL"
"5015","LARCENY/THEFT"
"5016","LARCENY/THEFT"
"5017","LARCENY/THEFT"
"5018","LARCENY/THEFT"
"5019","BURGLARY"
"5020","LARCENY/THEFT"
"5021","OTHER OFFENSES"
"5022","OTHER OFFENSES"
"5023","LARCENY/THEFT"
"5024","LARCENY/THEFT"
"5025","LARCENY/THEFT"
"5026","LARCENY/THEFT"
"5027","LARCENY/THEFT"
"5028","NON-CRIMINAL"
"5029","LARCENY/THEFT"
"5030","LARCENY/THEFT"
"5031","LARCENY/THEFT"
"5032","LARCENY/THEFT"
"5033","LARCENY/THEFT"
"5034","LARCENY/THEFT"
"5035","LARCENY/THEFT"
"5036","LARCENY/THEFT"
"5037","LARCENY/THEFT"
"5038","LARCENY/THEFT"
"5039","LARCENY/THEFT"
"5040","LARCENY/THEFT"
"5041","LARCENY/THEFT"
"5042","OTHER OFFENSES"
"5043","LARCENY/THEFT"
"5044","OTHER OFFENSES"
"5045","OTHER OFFENSES"
"5046","ASSAULT"
"5047","OTHER OFFENSES"
"5048","LARCENY/THEFT"
"5049","LARCENY/THEFT"
"5050","LARCENY/THEFT"
"5051","LARCENY/THEFT"
"5052","LARCENY/THEFT"
"5053","LARCENY/THEFT"
"5054","LARCENY/THEFT"
"5055","OTHER OFFENSES"
"5056","LARCENY/THEFT"
"5057","ASSAULT"
"5058","LARCENY/THEFT"
"5059","FRAUD"
"5060","LARCENY/THEFT"
"5061","LARCENY/THEFT"
"5062","LARCENY/THEFT"
"5063","LARCENY/THEFT"
"5064","LARCENY/THEFT"
"5065","LARCENY/THEFT"
"5066","LARCENY/THEFT"
"5067","LARCENY/THEFT"
"5068","LARCENY/THEFT"
"5069","LARCENY/THEFT"
"5070","LARCENY/THEFT"
"5071","NON-CRIMINAL"
"5072","LARCENY/THEFT"
"5073","VEHICLE THEFT"
"5074","VEHICLE THEFT"
"5075","VEHICLE THEFT"
"5076","LARCENY/THEFT"
"5077","OTHER OFFENSES"
"5078","LARCENY/THEFT"
"5079","LARCENY/THEFT"
"5080","LARCENY/THEFT"
"5081","LARCENY/THEFT"
"5082","OTHER OFFENSES"
"5083","OTHER OFFENSES"
"5084","LARCENY/THEFT"
"5085","LARCENY/THEFT"
"5086","LARCENY/THEFT"
"5087","NON-CRIMINAL"
"5088","NON-CRIMINAL"
"5089","ASSAULT"
"5090","LARCENY/THEFT"
"5091","LARCENY/THEFT"
"5092","NON-CRIMINAL"
"5093","OTHER OFFENSES"
"5094","LARCENY/THEFT"
"5095","LARCENY/THEFT"
"5096","NON-CRIMINAL"
"5097","LARCENY/THEFT"
"5098","LARCENY/THEFT"
"5099","LARCENY/THEFT"
"5100","LARCENY/THEFT"
"5101","LARCENY/THEFT"
"5102","OTHER OFFENSES"
"5103","LARCENY/THEFT"
"5104","OTHER OFFENSES"
"5105","OTHER OFFENSES"
"5106","LARCENY/THEFT"
"5107","MISSING PERSON"
"5108","LARCENY/THEFT"
"5109","MISSING PERSON"
"5110","LARCENY/THEFT"
"5111","LARCENY/THEFT"
"5112","LARCENY/THEFT"
"5113","LARCENY/THEFT"
"5114","LARCENY/THEFT"
"5115","LARCENY/THEFT"
"5116","LARCENY/THEFT"
"5117","LARCENY/THEFT"
"5118","LARCENY/THEFT"
"5119","LARCENY/THEFT"
"5120","OTHER OFFENSES"
"5121","LARCENY/THEFT"
"5122","LARCENY/THEFT"
"5123","NON-CRIMINAL"
"5124","LARCENY/THEFT"
"5125","NON-CRIMINAL"
"5126","LARCENY/THEFT"
"5127","NON-CRIMINAL"
"5128","LARCENY/THEFT"
"5129","NON-CRIMINAL"
"5130","LARCENY/THEFT"
"5131","NON-CRIMINAL"
"5132","NON-CRIMINAL"
"5133","NON-CRIMINAL"
"5134","NON-CRIMINAL"
"5135","LARCENY/THEFT"
"5136","LARCENY/THEFT"
"5137","OTHER OFFENSES"
"5138","LARCENY/THEFT"
"5139","ASSAULT"
"5140","WARRANTS"
"5141","LARCENY/THEFT"
"5142","LARCENY/THEFT"
"5143","LARCENY/THEFT"
"5144","LARCENY/THEFT"
"5145","LARCENY/THEFT"
"5146","LARCENY/THEFT"
"5147","LARCENY/THEFT"
"5148","LARCENY/THEFT"
"5149","LARCENY/THEFT"
"5150","LARCENY/THEFT"
"5151","LARCENY/THEFT"
"5152","LARCENY/THEFT"
"5153","LARCENY/THEFT"
"5154","OTHER OFFENSES"
"5155","ASSAULT"
"5156","LARCENY/THEFT"
"5157","LARCENY/THEFT"
"5158","LARCENY/THEFT"
"5159","LARCENY/THEFT"
"5160","LARCENY/THEFT"
"5161","LARCENY/THEFT"
"5162","LARCENY/THEFT"
"5163","LARCENY/THEFT"
"5164","LARCENY/THEFT"
"5165","LARCENY/THEFT"
"5166","LARCENY/THEFT"
"5167","OTHER OFFENSES"
"5168","LARCENY/THEFT"
"5169","LARCENY/THEFT"
"5170","LARCENY/THEFT"
"5171","LARCENY/THEFT"
"5172","LARCENY/THEFT"
"5173","NON-CRIMINAL"
"5174","OTHER OFFENSES"
"5175","OTHER OFFENSES"
"5176","LARCENY/THEFT"
"5177","LARCENY/THEFT"
"5178","LARCENY/THEFT"
"5179","LARCENY/THEFT"
"5180","NON-CRIMINAL"
"5181","LARCENY/THEFT"
"5182","NON-CRIMINAL"
"5183","NON-CRIMINAL"
"5184","ASSAULT"
"5185","NON-CRIMINAL"
"5186","LARCENY/THEFT"
"5187","LARCENY/THEFT"
"5188","LARCENY/THEFT"
"5189","LARCENY/THEFT"
"5190","LARCENY/THEFT"
"5191","LARCENY/THEFT"
"5192","LARCENY/THEFT"
"5193","NON-CRIMINAL"
"5194","NON-CRIMINAL"
"5195","NON-CRIMINAL"
"5196","LARCENY/THEFT"
"5197","LARCENY/THEFT"
"5198","LARCENY/THEFT"
"5199","LARCENY/THEFT"
"5200","LARCENY/THEFT"
"5201","LARCENY/THEFT"
"5202","NON-CRIMINAL"
"5203","NON-CRIMINAL"
"5204","OTHER OFFENSES"
"5205","OTHER OFFENSES"
"5206","OTHER OFFENSES"
"5207","OTHER OFFENSES"
"5208","LARCENY/THEFT"
"5209","NON-CRIMINAL"
"5210","NON-CRIMINAL"
"5211","LARCENY/THEFT"
"5212","LARCENY/THEFT"
"5213","LARCENY/THEFT"
"5214","LARCENY/THEFT"
"5215","LARCENY/THEFT"
"5216","NON-CRIMINAL"
"5217","LARCENY/THEFT"
"5218","LARCENY/THEFT"
"5219","LARCENY/THEFT"
"5220","LARCENY/THEFT"
"5221","NON-CRIMINAL"
"5222","LARCENY/THEFT"
"5223","LARCENY/THEFT"
"5224","NON-CRIMINAL"
"5225","LARCENY/THEFT"
"5226","NON-CRIMINAL"
"5227","LARCENY/THEFT"
"5228","LARCENY/THEFT"
"5229","LARCENY/THEFT"
"5230","LARCENY/THEFT"
"5231","LARCENY/THEFT"
"5232","LARCENY/THEFT"
"5233","LARCENY/THEFT"
"5234","SUSPICIOUS OCC"
"5235","LARCENY/THEFT"
"5236","LARCENY/THEFT"
"5237","LARCENY/THEFT"
"5238","LARCENY/THEFT"
"5239","LARCENY/THEFT"
"5240","LARCENY/THEFT"
"5241","LARCENY/THEFT"
"5242","OTHER OFFENSES"
"5243","LARCENY/THEFT"
"5244","LARCENY/THEFT"
"5245","NON-CRIMINAL"
"5246","LARCENY/THEFT"
"5247","LARCENY/THEFT"
"5248","LARCENY/THEFT"
"5249","NON-CRIMINAL"
"5250","LARCENY/THEFT"
"5251","OTHER OFFENSES"
"5252","OTHER OFFENSES"
"5253","OTHER OFFENSES"
"5254","OTHER OFFENSES"
"5255","LARCENY/THEFT"
"5256","LARCENY/THEFT"
"5257","OTHER OFFENSES"
"5258","ASSAULT"
"5259","NON-CRIMINAL"
"5260","LARCENY/THEFT"
"5261","NON-CRIMINAL"
"5262","LARCENY/THEFT"
"5263","LARCENY/THEFT"
"5264","LARCENY/THEFT"
"5265","LARCENY/THEFT"
"5266","LARCENY/THEFT"
"5267","LARCENY/THEFT"
"5268","LARCENY/THEFT"
"5269","LARCENY/THEFT"
"5270","LARCENY/THEFT"
"5271","LARCENY/THEFT"
"5272","LARCENY/THEFT"
"5273","OTHER OFFENSES"
"5274","LARCENY/THEFT"
"5275","LARCENY/THEFT"
"5276","LARCENY/THEFT"
"5277","NON-CRIMINAL"
"5278","NON-CRIMINAL"
"5279","LARCENY/THEFT"
"5280","LARCENY/THEFT"
"5281","LARCENY/THEFT"
"5282","NON-CRIMINAL"
"5283","LARCENY/THEFT"
"5284","LARCENY/THEFT"
"5285","LARCENY/THEFT"
"5286","NON-CRIMINAL"
"5287","LARCENY/THEFT"
"5288","LARCENY/THEFT"
"5289","NON-CRIMINAL"
"5290","NON-CRIMINAL"
"5291","LARCENY/THEFT"
"5292","LARCENY/THEFT"
"5293","LARCENY/THEFT"
"5294","LARCENY/THEFT"
"5295","OTHER OFFENSES"
"5296","LARCENY/THEFT"
"5297","LARCENY/THEFT"
"5298","LARCENY/THEFT"
"5299","LARCENY/THEFT"
"5300","LARCENY/THEFT"
"5301","LARCENY/THEFT"
"5302","LARCENY/THEFT"
"5303","LARCENY/THEFT"
"5304","LARCENY/THEFT"
"5305","LARCENY/THEFT"
"5306","LARCENY/THEFT"
"5307","LARCENY/THEFT"
"5308","NON-CRIMINAL"
"5309","SUSPICIOUS OCC"
"5310","SUSPICIOUS OCC"
"5311","NON-CRIMINAL"
"5312","LARCENY/THEFT"
"5313","NON-CRIMINAL"
"5314","LARCENY/THEFT"
"5315","SUSPICIOUS OCC"
"5316","SUSPICIOUS OCC"
"5317","NON-CRIMINAL"
"5318","LARCENY/THEFT"
"5319","LARCENY/THEFT"
"5320","LARCENY/THEFT"
"5321","LARCENY/THEFT"
"5322","LARCENY/THEFT"
"5323","LARCENY/THEFT"
"5324","LARCENY/THEFT"
"5325","ASSAULT"
"5326","LARCENY/THEFT"
"5327","NON-CRIMINAL"
"5328","LARCENY/THEFT"
"5329","LARCENY/THEFT"
"5330","LARCENY/THEFT"
"5331","LARCENY/THEFT"
"5332","LARCENY/THEFT"
"5333","WARRANTS"
"5334","WARRANTS"
"5335","LARCENY/THEFT"
"5336","OTHER OFFENSES"
"5337","LARCENY/THEFT"
"5338","NON-CRIMINAL"
"5339","NON-CRIMINAL"
"5340","NON-CRIMINAL"
"5341","LARCENY/THEFT"
"5342","PROSTITUTION"
"5343","NON-CRIMINAL"
"5344","NON-CRIMINAL"
"5345","OTHER OFFENSES"
"5346","LARCENY/THEFT"
"5347","OTHER OFFENSES"
"5348","LARCENY/THEFT"
"5349","PROSTITUTION"
"5350","LARCENY/THEFT"
"5351","LARCENY/THEFT"
"5352","LARCENY/THEFT"
"5353","NON-CRIMINAL"
"5354","NON-CRIMINAL"
"5355","NON-CRIMINAL"
"5356","LARCENY/THEFT"
"5357","LARCENY/THEFT"
"5358","OTHER OFFENSES"
"5359","LARCENY/THEFT"
"5360","NON-CRIMINAL"
"5361","NON-CRIMINAL"
"5362","NON-CRIMINAL"
"5363","LARCENY/THEFT"
"5364","LARCENY/THEFT"
"5365","NON-CRIMINAL"
"5366","NON-CRIMINAL"
"5367","NON-CRIMINAL"
"5368","LARCENY/THEFT"
"5369","LARCENY/THEFT"
"5370","LARCENY/THEFT"
"5371","NON-CRIMINAL"
"5372","LARCENY/THEFT"
"5373","SUSPICIOUS OCC"
"5374","SUSPICIOUS OCC"
"5375","LARCENY/THEFT"
"5376","LARCENY/THEFT"
"5377","LARCENY/THEFT"
"5378","LARCENY/THEFT"
"5379","LARCENY/THEFT"
"5380","LARCENY/THEFT"
"5381","LARCENY/THEFT"
"5382","SUSPICIOUS OCC"
"5383","OTHER OFFENSES"
"5384","LARCENY/THEFT"
"5385","LARCENY/THEFT"
"5386","NON-CRIMINAL"
"5387","LARCENY/THEFT"
"5388","LARCENY/THEFT"
"5389","LARCENY/THEFT"
"5390","NON-CRIMINAL"
"5391","NON-CRIMINAL"
"5392","LARCENY/THEFT"
"5393","NON-CRIMINAL"
"5394","NON-CRIMINAL"
"5395","NON-CRIMINAL"
"5396","LARCENY/THEFT"
"5397","VANDALISM"
"5398","VANDALISM"
"5399","MISSING PERSON"
"5400","NON-CRIMINAL"
"5401","LARCENY/THEFT"
"5402","LARCENY/THEFT"
"5403","LARCENY/THEFT"
"5404","NON-CRIMINAL"
"5405","LARCENY/THEFT"
"5406","LARCENY/THEFT"
"5407","OTHER OFFENSES"
"5408","OTHER OFFENSES"
"5409","NON-CRIMINAL"
"5410","NON-CRIMINAL"
"5411","NON-CRIMINAL"
"5412","NON-CRIMINAL"
"5413","LARCENY/THEFT"
"5414","LARCENY/THEFT"
"5415","LARCENY/THEFT"
"5416","LARCENY/THEFT"
"5417","LARCENY/THEFT"
"5418","NON-CRIMINAL"
"5419","NON-CRIMINAL"
"5420","OTHER OFFENSES"
"5421","LARCENY/THEFT"
"5422","LARCENY/THEFT"
"5423","NON-CRIMINAL"
"5424","LARCENY/THEFT"
"5425","LARCENY/THEFT"
"5426","LARCENY/THEFT"
"5427","LARCENY/THEFT"
"5428","LARCENY/THEFT"
"5429","LARCENY/THEFT"
"5430","LARCENY/THEFT"
"5431","LARCENY/THEFT"
"5432","NON-CRIMINAL"
"5433","LARCENY/THEFT"
"5434","LARCENY/THEFT"
"5435","LARCENY/THEFT"
"5436","LARCENY/THEFT"
"5437","LARCENY/THEFT"
"5438","LARCENY/THEFT"
"5439","WARRANTS"
"5440","NON-CRIMINAL"
"5441","LARCENY/THEFT"
"5442","LARCENY/THEFT"
"5443","NON-CRIMINAL"
"5444","OTHER OFFENSES"
"5445","LARCENY/THEFT"
"5446","LARCENY/THEFT"
"5447","LARCENY/THEFT"
"5448","LARCENY/THEFT"
"5449","LARCENY/THEFT"
"5450","LARCENY/THEFT"
"5451","LARCENY/THEFT"
"5452","LARCENY/THEFT"
"5453","LARCENY/THEFT"
"5454","LARCENY/THEFT"
"5455","LARCENY/THEFT"
"5456","LARCENY/THEFT"
"5457","LARCENY/THEFT"
"5458","LARCENY/THEFT"
"5459","NON-CRIMINAL"
"5460","LARCENY/THEFT"
"5461","LARCENY/THEFT"
"5462","LARCENY/THEFT"
"5463","LARCENY/THEFT"
"5464","LARCENY/THEFT"
"5465","NON-CRIMINAL"
"5466","NON-CRIMINAL"
"5467","NON-CRIMINAL"
"5468","LARCENY/THEFT"
"5469","LARCENY/THEFT"
"5470","NON-CRIMINAL"
"5471","LARCENY/THEFT"
"5472","LARCENY/THEFT"
"5473","LARCENY/THEFT"
"5474","ASSAULT"
"5475","LARCENY/THEFT"
"5476","LARCENY/THEFT"
"5477","LARCENY/THEFT"
"5478","NON-CRIMINAL"
"5479","LARCENY/THEFT"
"5480","NON-CRIMINAL"
"5481","NON-CRIMINAL"
"5482","NON-CRIMINAL"
